,questions,generated_answers,reference_answers,documents,correctness,groundedness,relevance,retrieval_relevance
0,what percent of people are overweight in the uk?,64.0%,uk,"The data shows the percentage of adults in England who were overweight or living with obesity, by ethnicity.

In 2022 to 2023, 64.0% of adults aged 18 years and over in England were estimated to be overweight or living with obesity.

The percentage of adults overweight or living with obesity in England was up by 0.5% from the previous year.

70.8% of black adults were overweight or living with obesity in England.

Main findings Prevalence of overweight and obesity in adults aged 18 years and over in England.",1,3,5,4
1,who won the battle of gettysburg union or confederate?,Union,Union,"Union and Confederate forces participated in the Battle of Gettysburg.

The Union won the Battle of Gettysburg.

The Union won a decisive victory at Gettysburg, July 1–3.

The Battle of Gettysburg ended Union victory.

The Battle of Gettysburg",5,1,5,4
2,what did george washington do as a teenager?,"compiled rules for social interaction, practiced penmanship, comportment, and mathematics through school exercises, and gained self-reliance as a surveyor.",Surveyor,"George Washington completed many school exercises in penmanship, comportment, and mathematics during his early teenage years.

As a teenager, George Washington compiled over a hundred rules for social interaction.

George Washington's experiences in his youth helped shape the man who would lead a revolution and become the first president of the United States.

George Washington spent much of his youth at Ferry Farm.

George Washington's experiences as a surveyor taught him to be self-reliant at a young age.",5,4,5,4
3,what is the name of the capital of belgium?,Brussels,City of Brussels,"The City of Brussels is the capital of Belgium.

Brussels is the capital of Belgium.

Brussels is the capital of Belgium.

Brussels is Belgium's economic capital.

The city of Brussels functions as the capital of the Flemish Region.",1,1,5,5
4,who does darth vaders voice?,James Earl Jones,James Earl Jones,"Darth Vader is a fictional character in the Star Wars franchise.

The character Darth Vader appears in novels, comics, and video games.

James Earl Jones provides Darth Vader's voice in all of the films and some television series.

In the standalone film Rogue One (2016), Darth Vader is portrayed by Spencer Wilding and Daniel Naprous.

Darth Vader was first introduced in the original film trilogy as one of the leaders of the Galactic Empire.",5,3,5,4
5,who was the italian leader in ww1?,Antonio Salandra,Benito Mussolini,"Victor Emmanuel III played an important part in Italy's decision to intervene in World War I on the side of the Entente.

Italy decided to remain neutral during World War I.

At the outbreak of the First World War, Victor Emmanuel III supported the decision of Italian Prime Minister Antonio Salandra to remain neutral.

Salandra brought Italy into the war on the side of the Allies in May 1915.

Victor Emmanuel III defended Italy's position within the Entente after the Caporetto disaster.",1,1,5,3
6,where is harley davidson corporate headquarters?,"Milwaukee, Wisconsin, United States.",Milwaukee,"The factory is at the current location of Harley-Davidson's corporate headquarters.

The original factory was at the current location of Harley-Davidson's corporate headquarters.

Harley-Davidson, Inc. is headquartered in Milwaukee, Wisconsin, United States.

Harley-Davidson, Inc. is an American motorcycle manufacturer.

Harley-Davidson has a company-sponsored, brand-focused museum.",4,1,5,3
7,where did francisco coronado come from?,New Spain,Salamanca,"Francisco Vázquez de Coronado went to New Spain in 1535 at about age 25.

Francisco Vázquez de Coronado went to New Spain in 1535 at about age 25.

Francisco Vázquez de Coronado set out from Compostela on February 23, 1540.

Francisco Vazquez de Coronado's early history is somewhat uncertain.

Francisco Vazquez de Coronado was thought to have been born in 1510.",1,1,5,2
8,what was the ancient chinese writing system?,logographic,Sino-Tibetan languages,"Written Chinese is a writing system that uses Chinese characters and other symbols to represent the Chinese languages.

By the Shang dynasty, Chinese writing was already a highly developed system.

Chinese writing is a logographic writing system.

Chinese writing is one of the world's great writing systems.

The earliest writing in Chinese consisted of carved inscriptions.",1,1,3,3
9,what did thomas hobbes do?,philosopher,Political philosophy,"Hobbes did

Thomas Hobbes was a thinker with wide-ranging interests.

Thomas Hobbes was a scientist and philosopher.

Thomas Hobbes was a philosopher.

Thomas Hobbes was an English philosopher, scientist, and historian.",1,3,1,2
10,who is the state governor of florida?,Ron DeSantis,Rick Scott,"The governor of Florida is the head of government of the U.S. state of Florida.

Ron DeSantis is the current governor of Florida.

Ron DeSantis is the Governor of Florida.

The governor of Florida has a duty to enforce state laws.

The governor of Florida is the commander-in-chief of the state's military forces.",1,1,5,2
11,what was the cause of death for bruce lee?,brain edema,Cerebral edema,"Bruce Lee died under mysterious circumstances.

The cause of Bruce Lee's death is unknown.

Bruce Lee's death was under mysterious circumstances.

Bruce Lee's death was under mysterious circumstances.

Bruce Lee's career was cut short by his sudden death at age 32 from a brain edema.",2,1,5,1
12,what type of government did mexico have?,federal republic,Federal republic,"Mexico has a tradition of highly centralized government.

Governmental powers in Mexico are divided constitutionally between executive, legislative, and judicial branches.

The executive branch of Mexico has historically dominated the other two branches of government.

Mexico is a federal republic composed of 31 states and the Federal District.

Under PRI rule, Mexican presidents influenced or decided many state and local matters, including elections.",1,1,5,3
13,what kind of hispanic is selena gomez?,Mexican,Mexicans,"Offscreen, Selena has been a vocal supporter of her heritage.

Selena is proud of her heritage every month.

Selena Gomez plays Mabel Mora.

Selena uses her platforms, including her Rare Beauty brand, to spread messages of unity during a time when society has become greatly segregated.

Selena says her community should feel proud of their heritage every day of the year.",1,1,5,2
14,what season did lana lang leave smallville?,5,Smallville - Season 8,"Lana Lang is a fictional character on the television series Smallville.

Lana leaves Smallville for good.

The character of Lana Lang has appeared in various literature based on the Smallville television series.

The decisions made by Clark and Lex change Lana Lang over the course of the show.

Lana Lang eventually becomes a tragic figure in Smallville.",1,5,1,1
15,what kind of equipment did isaac newton use?,don't know,Reflecting telescope,"Robert Hooke conducted experiments.

Hobbes was known as a scientist in optics.

Robert Hooke made little mechanical toys.

Hobbes was a scientist in his own right.

Robert Hooke built the vacuum pumps used in Boyle's experiments on gas law.",1,1,1,1
16,what did african americans do during the revolutionary war?,served as soldiers,Continental Army Regiment,"Many African Americans served during the American Revolution.

Learn about some African Americans who fought in the American Revolution.

During the American Revolution, African American men fought in the Continental Army.

Black men served as soldiers in the Revolutionary War.

People of African descent fought on both sides of the Revolutionary War.",1,5,5,4
17,who is lamar odom playing for this year?,I don't know.,Los Angeles Clippers,"Lamar Odom

Lamar Odom played for the Los Angeles Lakers in the National Basketball Association (NBA).

Lamar Odom is an American former professional basketball player.

Lamar Odom played the 2003-04 season with the Miami Heat.

Lamar Odom was traded to the Lakers.",1,1,1,1
18,where did frank baum die?,"May 6, 1919.",Hollywood,"Lyman Frank Baum died on May 6, 1919.

Maurd Gage Baum died on March 6, 1953.

Lyman Frank Baum was an American author.

L. Frank Baum preferred his middle name 'Frank'.

In 1953, Maud Gage Baum died at 91 years of age.",1,1,5,4
19,which country won the crimean war?,Britain,Russian Empire,"The Crimean War was fought between Russia, Britain, France, and the Ottoman Empire.

The Crimean War ended favourably for Britain and members of its fellow alliance.

The Crimean War lasted from 1854 until 1856.

The Crimean War was fought by an alliance of Britain, France, Turkey, and Sardinia against Russia.

The Crimean War was fought from October 1853 to February 1856.",1,1,1,4
20,who formed the american federation of labor?,"The craft unions established the American Federation of Labor. However, for the specific individual who became its first president, the documents do not provide a name.",Samuel Gompers,"The craft unions established the American Federation of Labor.

The person became the first president of the American Federation of Labor.

The American Federation of Labor was a national federation of labor unions in the United States.

The American Federation of Labor was organized as an association of trade unions in 1886.

In 1881, a person helped found the Federation of Organized Trades and Labor Unions.",2,4,3,1
21,what team does jordan own?,Charlotte Hornets,Jordan national football team,"As part of the deal, Michael Jordan still has a minority stake in the team.

Michael Jordan has owned the Charlotte Hornets for the past 13 years.

Jordan has a series of other ventures.

Michael Jordan said in a news release that it was a tremendous honor to own the Hornets.

Michael Jordan was the best former player to ever own a team.",1,1,5,4
22,what was dr seuss's real name?,Ted Geisel,Theodor Robert Geisel,"Ted Geisel is also known as Dr. Seuss.

The film is based on the 1954 book of the same name by Dr. Seuss.

The special is based on the 1957 children's book of the same name by Dr. Seuss.

L. Frank Baum preferred his middle name 'Frank'.

The film was the third Dr. Seuss feature film adaptation.",2,1,5,4
23,what sri lanka capital?,Colombo,Sri Jayawardenapura Kotte,"The Colombo town seat alternated between the Tamils and the Sinhalese.

Sri Lanka is officially a Buddhist country.

Sri Lanka gained independence from the British Empire in 1948.

Sri Lankans practice a variety of religions.

Theravada Buddhism is the official religion of Sri Lanka.",1,1,5,2
24,what electorate does anna bligh represent?,South Brisbane,Electoral district of South Brisbane,"Anna Bligh served as a senior Minister in the Beattie government.

After distribution of preferences, Anna Bligh received a total of 14,697 votes (65% of the total).

Anna Bligh received 12,243 first preference votes in her electorate of South Brisbane (48% of the total).

The author decided to see how Campbell Newman's numbers in the Brisbane City Council elections in 2008 stacked up against Anna Bligh's numbers in the 2009 state election.

Peter Wellington said Anna Bligh supported Peter Wellington's call for a whole range of new services in his electorate.",1,1,5,2
25,what form of currency does china have?,Coins and banknotes.,Renminbi,"The currency in China consists of various coins and banknotes.

The Chinese currency has its own banknotes and coins.

Coins and banknotes are used in Chinese currency.

RMB is the name of China's currency.

RMB is the name of China's currency.",1,1,5,2
26,who did granville t. woods married?,Sadie Turner,Loretta Woods,"Granville T. Woods was married to Ada Woods.

Granville Woods got married in 1890.

Granville T. Woods married in Cincinnati in 1880.

Granville T. Woods married Sadie Turner in June 1880.

Granville T. Woods' occupation was listed as Church Sexton.",1,1,5,1
27,who does jeremy lin play for?,New Taipei Kings,Houston Rockets,"Jeremy Lin played for the Houston Rockets, Los Angeles Lakers, Charlotte Hornets, Brooklyn Nets, Atlanta Hawks, and Toronto Raptors.

Jeremy Shu-How Lin plays for the New Taipei Kings of the Taiwan Professional Basketball League (TPBL).

Jeremy Shu-How Lin is a Taiwanese-American professional basketball player.

Jeremy Lin experienced some success in Houston and Charlotte.

Jeremy Lin became an All-Star in the Chinese Basketball Association (CBA).",1,1,5,4
28,what is arkansas state capitol?,I don't know.,Little Rock,"The Louisiana State Capitol is located in downtown Baton Rouge.

The Louisiana State Capitol is the seat of government for the U.S. state of Louisiana.

There have been three State Capitol buildings.

The capitol also houses the office of the Governor of Louisiana.

The capitol houses the chambers for the Louisiana State Legislature.",1,1,1,1
29,what language do serbs speak?,Serbian,Serbian language,"Serbian is mainly used by Serbs.

The official language in Serbia is Serbian.

Serbia has many minority languages.

The top three languages spoken in Serbia are Serbian, English, and Croatian.

Serbian is the official and national language of Serbia.",3,3,5,5
30,what money do i use in costa rica?,"Use Costa Rican colones (CRC). While US dollars are widely accepted, it's advisable to have some colones for smaller transactions or in more rural areas where US dollar acceptance may be limited.",Costa Rican colón,"Using US Cash US dollars are widely accepted in Costa Rica.

Dollars are widely accepted in Costa Rica.

US dollars are widely accepted in Costa Rica.

US dollars are widely accepted in Costa Rica.

Do Costa Rica take US dollars?",5,4,5,5
31,when did the libyan conflict start?,I don't know.,2011,"Main navigation Civil Conflict in Libya.

The war was fought in Libya among a number of armed groups.

Libyan involvement with Chad started in 1968 during the Chadian Civil War.

The Libyan civil war was a multilateral civil war.

Britannica provides a guide to recent events in Libya.",1,1,1,1
32,who plays edward scissorhands?,"Donovan Leitch, known professionally as Johnny Depp.",Johnny Depp,"The plot of Edward Scissorhands is similar to the movie.

Edward Scissorhands is a story.

The film version of Edward Scissorhands is set in the late 1980s.

Edward Scissorhands was created by Matthew Bourne.

Edward Scissorhands is a dance.",1,1,5,1
33,where did buster posey go to high school?,Lee County High School,Leesburg,"Buster Posey Posey was an excellent high school shortstop and pitcher.

Buster Posey was a junior at Lee County High School.

Buster Posey III played four sports in high school.

Buster Posey pitched and played shortstop at Lee County High School.

Buster Posey Posey was the best Georgia high school player that season according to the award's selection committee.",5,1,5,4
